Icterus croconotus
Elaenia frantzii
Tinamus solitarius
Terenura maculata
Notharchus macrorhynchos
Colibri thalassinus
Platyrinchus platyrhynchos
Agelasticus thilius
Cercomacra nigricans
Boissonneaua flavescens
Tyrannus savana
Silvicultrix diadema
Platyrinchus flavigularis
Lurocalis rufiventris
Saltator similis
Granatellus pelzelni
Chlorophonia pyrrhophrys
Laterallus fasciatus
Chaetura spinicaudus
Myiothlypis roraimae
Attila spadiceus
Diopsittaca nobilis
Dacnis flaviventer
Myrmeciza goeldii
Euphonia minuta
Myiarchus ferox
Tangara desmaresti
Cyanocorax chrysops
Sturnella superciliaris
Amaurospiza moesta
Hydropsalis maculicaudus
Odontophorus stellatus
Cacicus oseryi
Adelomyia melanogenys
Patagioenas picazuro
Pionopsitta pileata
Melanerpes rubricapillus
Platyrinchus saturatus
Dysithamnus occidentalis
Leptopogon rufipectus
Chiroxiphia pareola
Elaenia albiceps
Suiriri islerorum
Pyriglena leucoptera
Asthenes moreirae
Cercomacra carbonaria
Pyrrhura frontalis
Myiornis albiventris
Celeus obrieni
Florisuga fusca
Tachybaptus dominicus
Deconychura longicauda
Brotogeris jugularis
Thamnomanes caesius
Chlorochrysa calliparaea
Lipaugus fuscocinereus
Campephilus robustus
Stephanophorus diadematus
Hypocnemis hypoxantha
Hylophylax naevius
Gallinago paraguaiae
Larosterna inca
Thalurania furcata
Mionectes macconnelli
Orthopsittaca manilatus
Diglossa brunneiventris
Serpophaga munda
Tangara callophrys
Phaethornis bourcieri
Geothlypis velata
Tringa solitaria
Fluvicola nengeta
Hirundinea ferruginea
Phaetusa simplex
Empidonomus varius
Trogon ramonianus
Ixobrychus exilis
Myrmeciza ruficauda
Anthracothorax nigricollis
Strix nigrolineata
Pteroglossus castanotis
Setophaga petechia
Aglaiocercus kingii
Megascops choliba
Klais guimeti
Phaethornis eurynome
Todirostrum poliocephalum
Colaptes punctigula
Pheucticus aureoventris
Nystalus chacuru
Odontophorus capueira
Myrmotherula ignota
Synallaxis cherriei
Corythopis torquatus
Elaenia pallatangae
Pyrocephalus rubinus
Cyanocorax caeruleus
Thripophaga fusciceps
Thraupis cyanocephala
Mionectes oleagineus
Dixiphia cornuta
Psarocolius viridis
Onychorhynchus coronatus
Buteogallus schistaceus
Dendrocygna viduata
Atlapetes schistaceus
Setopagis parvula
Dysithamnus mentalis
Lepidocolaptes souleyetii
Anthus correndera
Vireo caribaeus
Turdus fuscater
Brotogeris chrysoptera
Chlorophanes spiza
Cercomacra serva
Oreothraupis arremonops
Lepidocolaptes duidae
Polioptila plumbea
Penelope purpurascens
Quiscalus lugubris
Atlapetes melanocephalus
Myiornis auricularis
Xenopipo atronitens
Campylorhamphus pusillus
Myiopagis flavivertex
Hylophilus amaurocephalus
Piranga rubra
Ammodramus humeralis
Baryphthengus ruficapillus
Theristicus caudatus
Chaetura meridionalis
Metopothrix aurantiaca
Myrmeciza melanoceps
Campylorhynchus griseus
Vanellus resplendens
Cardellina canadensis
Euphonia trinitatis
Amazona farinosa
Xipholena punicea
Campylopterus falcatus
Lophotriccus eulophotes
Neocrex erythrops
Spizaetus ornatus
Hylophilus semibrunneus
Geotrygon frenata
Hemitriccus obsoletus
Thamnophilus ruficapillus
Synallaxis spixi
Tachyphonus coronatus
Piaya cayana
Rhynchocyclus olivaceus
Tachycineta leucorrhoa
Hylopezus berlepschi
Penelope obscura
Myioborus ornatus
Turdus fumigatus
Dichrozona cincta
Pipreola aureopectus
Buteogallus meridionalis
Pipra filicauda
Basileuterus rufifrons
Ramphotrigon fuscicauda
Lipaugus unirufus
Synallaxis fuscorufa
Nycticorax nycticorax
Formicivora rufa
Brotogeris versicolurus
Micrastur buckleyi
Eupetomena macroura
Cyanocorax yncas
Columbina minuta
Dixiphia rubrocapilla
Asthenes fuliginosa
Pachyramphus castaneus
Tyranneutes stolzmanni
Vireolanius eximius
Gallinago jamesoni
Thraupis ornata
Myiobius barbatus
Myornis senilis
Tersina viridis
Willisornis poecilinotus
Lamprospiza melanoleuca
Hemispingus atropileus
Synallaxis rutilans
Celeus flavescens
Turdus hauxwelli
Galbula ruficauda
Thraupis palmarum
Elaenia spectabilis
Phlegopsis erythroptera
Dryocopus lineatus
Hemitriccus orbitatus
Tiaris fuliginosus
Sporophila nigricollis
Empidonax virescens
Sporophila minuta
Melanerpes candidus
Sirystes sibilator
Grallaricula ferrugineipectus
Cyanocompsa cyanoides
Elaenia obscura
Trogon personatus
Spizaetus isidori
Ara militaris
Glyphorynchus spirurus
Hypnelus ruficollis
Schistocichla rufifacies
Volatinia jacarina
Nyctipolus nigrescens
Tangara vassorii
Mackenziaena leachii
Amazilia versicolor
Stigmatura napensis
Microbates collaris
Cypsnagra hirundinacea
Galbula tombacea
Machaeropterus striolatus
Nyctibius griseus
Notiochelidon murina
Laterallus jamaicensis
Chamaeza nobilis
Tachycineta albiventer
Myiothlypis rivularis
Grallaria varia
Thripadectes holostictus
Micrastur mintoni
Anabacerthia striaticollis
Grallaria hypoleuca
Pachyramphus validus
Odontophorus hyperythrus
Hemitriccus diops
Synallaxis albilora
Pionites leucogaster
Cissopis leverianus
Laterallus exilis
Contopus virens
Iodopleura isabellae
Attagis gayi
Aphantochroa cirrochloris
Cnipodectes superrufus
Furnarius longirostris
Arremon atricapillus
Megascops sanctaecatarinae
Myrmeciza immaculata
Ochthoeca leucophrys
Coryphaspiza melanotis
Pachyramphus versicolor
Theristicus caerulescens
Psarocolius bifasciatus
Arremon flavirostris
Amazilia cyanifrons
Thamnomanes ardesiacus
Microcerculus ustulatus
Megascops roraimae
Zenaida auriculata
Ramphocelus dimidiatus
Sporophila caerulescens
Chlorothraupis frenata
Monasa nigrifrons
Atlapetes fuscoolivaceus
Thripadectes flammulatus
Dromococcyx phasianellus
Todirostrum pictum
Campephilus pollens
Tyrannopsis sulphurea
Anairetes parulus
Cymbilaimus lineatus
Accipiter bicolor
Cardinalis phoeniceus
Pygiptila stellaris
Chamaeza ruficauda
Cinnycerthia olivascens
Hemitriccus furcatus
Parabuteo unicinctus
Batara cinerea
Sclerurus scansor
Myrmeciza ferruginea
Picumnus spilogaster
Laniisoma elegans
Galbula cyanicollis
Thamnophilus caerulescens
Schistocichla leucostigma
Chlorospingus flavopectus
Machaeropterus regulus
Nyctiphrynus ocellatus
Campylorhynchus turdinus
Claravis pretiosa
Phaethornis malaris
Cacicus chrysonotus
Metallura tyrianthina
Platyrinchus coronatus
Ochthoeca rufipectoralis
Thamnophilus schistaceus
Dendrocolaptes certhia
Amazona amazonica
Aulacorhynchus griseigularis
Elaenia chiriquensis
Synallaxis ruficapilla
Himantopus mexicanus
Sirystes albocinereus
Tachuris rubrigastra
Dendrexetastes rufigula
Trichothraupis melanops
Cyanocorax cristatellus
Pipra fasciicauda
Dysithamnus leucostictus
Hemispingus frontalis
Myiopagis caniceps
Selenidera piperivora
Dendrocincla merula
Micrastur mirandollei
Caracara cheriway
Euscarthmus rufomarginatus
Selenidera reinwardtii
Tangara gyrola
Primolius maracana
Charadrius semipalmatus
Sporophila bouvronides
Colinus cristatus
Amazilia castaneiventris
Chrysuronia oenone
Pulsatrix perspicillata
Picumnus rufiventris
Formicarius rufipectus
Gubernetes yetapa
Schistes geoffroyi
Penelope jacquacu
Campylorhynchus nuchalis
Bangsia melanochlamys
Mimus saturninus
Drymophila ferruginea
Thraupis cyanoptera
Myiarchus tyrannulus
Eleoscytalopus indigoticus
Xiphorhynchus guttatus
Laniocera hypopyrra
Trogon violaceus
Tringa melanoleuca
Accipiter poliogaster
Hydropsalis climacocerca
Alopochelidon fucata
Nothura maculosa
Mionectes rufiventris
Automolus rufipileatus
Hypocnemis subflava
Pyrrhura picta
Nothoprocta pentlandii
Scytalopus latrans
Hylocharis sapphirina
Periporphyrus erythromelas
Conioptilon mcilhennyi
Caryothraustes canadensis
Atlapetes latinuchus
Scytalopus vicinior
Uropsalis lyra
Leptotila rufaxilla
Chlorophonia cyanea
Myiopagis gaimardii
Dromococcyx pavoninus
Celeus lugubris
Formicarius rufifrons
Automolus rubiginosus
Phylloscartes kronei
Piranga lutea
Hemitriccus minimus
Galbula leucogastra
Euphonia concinna
Falco deiroleucus
Glaucidium brasilianum
Psilorhamphus guttatus
Neopelma sulphureiventer
Topaza pella
Myiozetetes similis
Hylopezus ochroleucus
Pionus seniloides
Pharomachrus pavoninus
Gallinago undulata
Nothocercus julius
Myrmotherula luctuosa
Lipaugus weberi
Xiphorhynchus obsoletus
Diglossa gloriosissima
Mecocerculus stictopterus
Furnarius minor
Myiotheretes striaticollis
Atlapetes personatus
Celeus grammicus
Gallinula galeata
Neopelma chrysocephalum
Grallaria milleri
Melanerpes cruentatus
Eurypyga helias
Picumnus albosquamatus
Contopus fumigatus
Lathrotriccus euleri
Xiphocolaptes promeropirhynchus
Pionus fuscus
Hemitriccus flammulatus
Nothocercus bonapartei
Philydor rufum
Scytalopus iraiensis
Drymophila malura
Myiopsitta monachus
Sclerurus albigularis
Bubulcus ibis
Conirostrum cinereum
Inezia tenuirostris
Ibycter americanus
Machetornis rixosa
Saltator grossus
Thraupis sayaca
Furnarius rufus
Thamnophilus palliatus
Synallaxis whitneyi
Mionectes striaticollis
Sturnella militaris
Doryfera johannae
Aratinga weddellii
Turdus leucops
Cyclarhis nigrirostris
Conirostrum sitticolor
Polytmus theresiae
Microcerculus marginatus
Mecocerculus poecilocercus
Margarornis squamiger
Progne chalybea
Tiaris olivaceus
Rallus longirostris
Hemitriccus rufigularis
Lanio fulvus
Thamnophilus stictocephalus
Falco rufigularis
Synallaxis frontalis
Anisognathus somptuosus
Hemitriccus iohannis
Saltator striatipectus
Momotus aequatorialis
Pyrrhura amazonum
Myiothlypis leucoblephara
Attila cinnamomeus
Catamenia homochroa
Leptotila verreauxi
Contopus cinereus
Leptotila conoveri
Nystalus striolatus
Nonnula rubecula
Hypocnemis ochrogyna
Progne tapera
Lepidothrix coronata
Pyriglena leuconota
Pseudoleistes guirahuro
Chelidoptera tenebrosa
Rynchops niger
Tangara seledon
Triclaria malachitacea
Automolus melanopezus
Sporophila lineola
Merulaxis ater
Poecilotriccus capitalis
Colibri delphinae
Premnoplex brunnescens
Neochen jubata
Lochmias nematura
Caracara plancus
Colaptes campestris
Atlapetes albofrenatus
Veniliornis affinis
Hemitriccus striaticollis
Hapalopsittaca fuertesi
Dysithamnus xanthopterus
Aegolius harrisii
Ornithion brunneicapillus
Patagioenas plumbea
Nothura boraquira
Cercomacra melanaria
Myiobius atricaudus
Thraupis episcopus
Automolus leucophthalmus
Schiffornis major
Parkerthraustes humeralis
Pteroglossus beauharnaesii
Capito aurovirens
Podilymbus podiceps
Rhopornis ardesiacus
Zebrilus undulatus
Setophaga pitiayumi
Cnipodectes subbrunneus
Schiffornis virescens
Campephilus rubricollis
Picumnus olivaceus
Gampsonyx swainsonii
Cyanerpes caeruleus
Notharchus hyperrhynchus
Sclerurus caudacutus
Anisognathus lacrymosus
Philydor erythrocercum
Cyanocorax cyanopogon
Myioborus miniatus
Phacellodomus rufifrons
Amazilia fimbriata
Brotogeris cyanoptera
Thryophilus sernai
Campylorhamphus trochilirostris
Chamaeza turdina
Cyanocompsa brissonii
Anabazenops fuscus
Cercomacra manu
Sporophila falcirostris
Furnarius leucopus
Limnornis curvirostris
Crypturellus obsoletus
Bucco capensis
Xiphorhynchus elegans
Geranoaetus albicaudatus
Leucochloris albicollis
Colaptes rivolii
Gymnopithys rufigula
Phacellodomus ferrugineigula
Cyanocorax affinis
Aulacorhynchus haematopygus
Megaceryle torquata
Taeniotriccus andrei
Ognorhynchus icterotis
Grallaria rufula
Turdus chiguanco
Phaethornis hispidus
Crotophaga ani
Glaucidium minutissimum
Cairina moschata
Catharus fuscater
Molothrus oryzivorus
Diglossa caerulescens
Lophotriccus galeatus
Xiphorhynchus ocellatus
Guira guira
Embernagra platensis
Ramphastos tucanus
Procnias averano
Chaetura brachyura
Cacicus leucoramphus
Myrmorchilus strigilatus
Mitu tuberosum
Conopias trivirgatus
Coereba flaveola
Lophotriccus vitiosus
Scytalopus meridanus
Heliangelus amethysticollis
Euphonia cyanocephala
Grallaria nuchalis
Ardea cocoi
Trogon viridis
Geranoaetus melanoleucus
Phyllomyias uropygialis
Phaethornis ruber
Myrmoborus lugubris
Geotrygon montana
Stigmatura budytoides
Veniliornis spilogaster
Phrygilus alaudinus
Chloroceryle amazona
Tolmomyias flaviventris
Euphonia plumbea
Pipra aureola
Cyclarhis gujanensis
Schoeniophylax phryganophilus
Phoenicircus carnifex
Antilophia galeata
Sicalis flaveola
Willisornis vidua
Vireo olivaceus
Pseudoseisura unirufa
Crypturellus undulatus
Myrmeciza hemimelaena
Colibri serrirostris
Ramphastos ambiguus
Inezia inornata
Drymophila devillei
Hellmayrea gularis
Malacoptila striata
Ictinia plumbea
Fulica ardesiaca
Brotogeris tirica
Xenops minutus
Odontophorus gujanensis
Bolborhynchus lineola
Pipreola arcuata
Thamnophilus cryptoleucus
Psarocolius angustifrons
Crypturellus parvirostris
Colonia colonus
Pogonotriccus lanyoni
Thamnophilus murinus
Vanellus chilensis
Ara chloropterus
Catamenia inornata
Atlapetes pallidinucha
Hapalopsittaca amazonina
Tangara nigrocincta
Hemitriccus griseipectus
Machaeropterus pyrocephalus
Cranioleuca hellmayri
Myiotheretes fumigatus
Grallaricula nana
Atticora fasciata
Lampropsar tanagrinus
Ramphastos dicolorus
Cranioleuca obsoleta
Myrmotherula cherriei
Hemitriccus granadensis
Buteogallus urubitinga
Myiozetetes luteiventris
Myrmeciza hyperythra
Eubucco richardsoni
Philydor atricapillus
Hylopezus macularius
Thamnophilus punctatus
Xiphorhynchus fuscus
Microcerculus bambla
Cercomacra nigrescens
Stelgidopteryx ruficollis
Isleria hauxwelli
Hemitriccus margaritaceiventer
Geothlypis aequinoctialis
Celeus torquatus
Scytalopus canus
Ramphastos vitellinus
Pteroglossus azara
Phaethornis superciliosus
Notharchus tectus
Automolus infuscatus
Ampelioides tschudii
Fulica americana
Penelope superciliaris
Synallaxis albescens
Cranioleuca demissa
Laterallus leucopyrrhus
Diglossa albilatera
Cnemotriccus fuscatus
Sclerurus obscurior
Patagioenas goodsoni
Synallaxis propinqua
Sporophila schistacea
Myrmotherula longipennis
Catamblyrhynchus diadema
Ortalis guttata
Cranioleuca vulpecula
Ramphocelus carbo
Ocreatus underwoodii
Chlorornis riefferii
Euphonia chlorotica
Columbina passerina
Hylocharis cyanus
Cinnycerthia unirufa
Amazilia lactea
Pteroglossus inscriptus
Tolmomyias sulphurescens
Arremon semitorquatus
Hylophilus thoracicus
Amazona dufresniana
Myrmochanes hemileucus
Anthus hellmayri
Synallaxis brachyura
Geocerthia serrana
Pionites melanocephalus
Chrysomus ruficapillus
Primolius auricollis
Celeus spectabilis
Saltator atripennis
Poecilotriccus fumifrons
Cercomacra laeta
Ancistrops strigilatus
Touit purpuratus
Piculus aurulentus
Myiodynastes maculatus
Cyanolyca viridicyanus
Jacamerops aureus
Leptasthenura andicola
Pionus chalcopterus
Xiphorhynchus triangularis
Sporophila castaneiventris
Myiotriccus ornatus
Lipaugus lanioides
Systellura longirostris
Epinecrophylla haematonota
Capito dayi
Accipiter superciliosus
Inezia caudata
Cacicus chrysopterus
Hemitriccus minor
Anthus lutescens
Myiothlypis fulvicauda
Bucco tamatia
Phyllomyias zeledoni
Synallaxis azarae
Leucopternis melanops
Icterus jamacaii
Ortalis garrula
Chordeiles pusillus
Myrmothera campanisona
Patagioenas subvinacea
Phaeomyias murina
Drymophila squamata
Hyloctistes subulatus
Glaucidium jardinii
Nonnula ruficapilla
Anodorhynchus hyacinthinus
Forpus xanthopterygius
Rhytipterna simplex
Hypocnemoides maculicauda
Tiaris bicolor
Anhima cornuta
Certhiaxis mustelinus
Herpsilochmus longirostris
Cacicus cela
Chauna torquata
Chloroceryle inda
Neopelma pallescens
Hypocnemoides melanopogon
Thlypopsis sordida
Polioptila dumicola
Strix hylophila
Zimmerius chrysops
Nemosia pileata
Poecilotriccus plumbeiceps
Hydropsalis cayennensis
Todirostrum maculatum
Tityra cayana
Grallaria quitensis
Cranioleuca erythrops
Pipile cumanensis
Colibri coruscans
Busarellus nigricollis
Pogonotriccus poecilotis
Synallaxis macconnelli
Cantorchilus longirostris
Scytalopus atratus
Myrmotherula axillaris
Lepidocolaptes lacrymiger
Cistothorus apolinari
Euphonia mesochrysa
Cacicus solitarius
Rhodinocichla rosea
Syrigma sibilatrix
Psophia crepitans
Brotogeris chiriri
Turdus subalaris
Todirostrum chrysocrotaphum
Hylophilus pectoralis
Ochthoeca fumicolor
Elaenia mesoleuca
Scytalopus spillmanni
Crypturellus erythropus
Phlegopsis nigromaculata
Capito auratus
Nothocrax urumutum
Thraupis bonariensis
Patagioenas fasciata
Falco femoralis
Stymphalornis acutirostris
Myioborus melanocephalus
Synallaxis subpudica
Formicivora grisea
Hemithraupis flavicollis
Myrmotherula iheringi
Lurocalis semitorquatus
Nyctibius leucopterus
Xiphorhynchus chunchotambo
Syndactyla subalaris
Querula purpurata
Colaptes melanochloros
Opisthocomus hoazin
Platyrinchus leucoryphus
Crypturellus bartletti
Sakesphorus cristatus
Momotus subrufescens
Deroptyus accipitrinus
Grallaria flavotincta
Tyto alba
Veniliornis nigriceps
Spizaetus tyrannus
Pipraeidea melanonota
Gnorimopsar chopi
Philydor lichtensteini
Odontorchilus branickii
Lophostrix cristata
Tityra semifasciata
Pionus tumultuosus
Aramus guarauna
Euphonia chalybea
Cichlopsis leucogenys
Myrmeciza squamosa
Myrmornis torquata
Tinamus major
Synallaxis infuscata
Synallaxis unirufa
Emberizoides herbicola
Pheugopedius sclateri
Sclerurus rufigularis
Sericossypha albocristata
Odontorchilus cinereus
Diglossa cyanea
Scytalopus sp.nov.Alto_Pisones
Hemitriccus zosterops
Myrmotherula multostriata
Icterus chrysater
Myiothlypis cinereicollis
Liosceles thoracicus
Epinecrophylla leucophthalma
Phaethornis pretrei
Hylexetastes uniformis
Tangara guttata
Myrmotherula assimilis
Lophotriccus pileatus
Celeus undatus
Formicivora melanogaster
Turdus albicollis
Pyrrhomyias cinnamomeus
Lipaugus vociferans
Thamnophilus torquatus
Sporophila intermedia
Tyrannus melancholicus
Megascops albogularis
Euphonia cayennensis
Forpus passerinus
Myiozetetes cayanensis
Elanoides forficatus
Taoniscus nanus
Trogon curucui
Basileuterus tristriatus
Neoctantes niger
Aulacorhynchus albivitta
Asthenes wyatti
Cistothorus platensis
Rupornis magnirostris
Antrostomus rufus
Chrysomus icterocephalus
Egretta thula
Ramphotrigon ruficauda
Elaenia chilensis
Contopus sordidulus
Myiothlypis flaveola
Grallaria bangsi
Hemithraupis ruficapilla
Pogonotriccus ophthalmicus
Myadestes ralloides
Streptoprocne rutila
Thalurania glaucopis
Uromyias agilis
Pteroglossus aracari
Oreomanes fraseri
Falco sparverius
Terenura humeralis
Mecocerculus leucophrys
Pheugopedius mystacalis
Pardirallus maculatus
Tolmomyias assimilis
Himantopus melanurus
Rhegmatorhina melanosticta
Turdus leucomelas
Lanio versicolor
Phyllomyias cinereiceps
Anurolimnas castaneiceps
Hemispingus melanotis
Heliodoxa leadbeateri
Myiarchus swainsoni
Campephilus haematogaster
Laterallus viridis
Anthus bogotensis
Tachyphonus cristatus
Icterus nigrogularis
Xiphorhynchus susurrans
Buteo nitidus
Tinamus tao
Grallaricula flavirostris
Rhytipterna immunda
Chlorostilbon gibsoni
Actitis macularius
Pyrrhura melanura
Micrastur ruficollis
Pitangus sulphuratus
Pyrrhocoma ruficeps
Rhopias gularis
Synallaxis albigularis
Attila rufus
Phaethornis guy
Phrygilus unicolor
Grallaria squamigera
Pachyramphus cinnamomeus
Megastictus margaritatus
Dendrocincla tyrannina
Synallaxis candei
Laterallus albigularis
Hylophilus hypoxanthus
Cyanolyca armillata
Thamnophilus doliatus
Muscipipra vetula
Spinus magellanica
Psophia viridis
Nyctiprogne leucopyga
Parabuteo leucorrhous
Sturnella magna
Campylorhamphus falcularius
Donacobius atricapilla
Arremon assimilis
Bubo virginianus
Lepidothrix nattereri
Tyranneutes virescens
Eupsittula pertinax
Ara macao
Eubucco bourcierii
